x_axis,original_from_screenshot_cm,baseline_slow,wave_raw,wave_clean,wave_freq_hz,wave_period_s,baseline_cutoff_hz,baseline_tau_s,cleanup_cutoff_hz,slope_rms,slope_threshold,freq_valid,schmitt_state
28156.797925751795,27.12529483547422,30.553451234551645,-3.428156399077423,-6.49924405939371,0.13884424269244355,7.2023152030518,0.03471106067311089,4.585136265086407,0.03471106067311089,4.842066561063113,1.452619968318934,True,-1
28157.07132902406,27.12529483547422,30.355011638812297,-3.229716803338075,-5.936080995688686,0.13884424269244355,7.2023152030518,0.03471106067311089,4.585136265086407,0.03471106067311089,4.761805541749059,1.4285416625247176,True,-1
28157.34473229633,27.33589468282814,30.180249382223227,-2.844354699395087,-5.229414293959136,0.13884424269244355,7.2023152030518,0.03471106067311089,4.585136265086407,0.03471106067311089,4.681683154423666,1.4045049463270998,True,-1
28157.61813556859,27.546494530182063,30.027793896747273,-2.48129936656521,-4.584668690167163,0.13884424269244355,7.2023152030518,0.03471106067311089,4.585136265086407,0.03471106067311089,4.604022255078925,1.3812066765236775,True,-1
28157.89153884086,27.967694224889904,29.90854456897989,-1.9408503440899878,-3.810119112605176,0.13884424269244355,7.2023152030518,0.03471106067311089,4.585136265086407,0.03471106067311089,4.532478678407445,1.3597436035222334,True,-1
28158.16494211313,28.66969371606963,29.836235615319936,-1.166541899250305,-2.858617188518024,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.474726256767781,1.342417877030334,True,1
28158.43834538539,29.582293054603284,29.821413555980396,-0.23912050137711205,-1.818476211365053,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.434540169887757,1.3303620509663272,True,1
28158.711748657657,30.49489239313693,29.860723009504913,0.6341693836320168,-0.8900179143464717,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.400350922481366,1.32010527674441,True,1
28158.985151929926,31.6180915790245,29.963296682645908,1.6547948963785934,0.122984324978477,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.384284311860176,1.3152852935580528,True,1
28159.258555202192,33.30289035785585,30.158221296640765,3.1446690612150867,1.5187195468383987,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.429877589487785,1.3289632768463355,True,1
28159.531958474457,35.12808903492315,30.448301361674208,4.679787673248942,2.8755924552887153,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.509949469601622,1.3529848408804865,True,1
28159.805361746723,36.8128878137545,30.81978803881634,5.993099774938159,3.9444075662537887,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.577890724506174,1.3733672173518523,True,1
28160.07876501899,38.00628694876004,31.2392479079596,6.767039040800441,4.442947479862161,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.58688153439043,1.3760644603171288,True,1
28160.352168291254,39.05928618552964,31.695686053113445,7.363600132416199,4.745363726758945,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.571454941995948,1.3714364825987844,True,1
28160.625571563523,40.11228542229924,32.18694413501346,7.925341287285775,4.997341038747255,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.55095295928125,1.3652858877843748,True,1
28160.89897483579,40.88448486259694,32.69460013568611,8.189884726910833,4.9547600493000346,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.509846522854257,1.3529539568562772,True,1
28161.17237810805,40.88448486259694,33.1726253909395,7.711859471657441,4.2154377961054905,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.4358067838872195,1.3307420351661658,True,1
28161.445781380324,40.603685066125045,33.606359725013725,6.9973253411113205,3.296563748183927,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.3618771982052955,1.3085631594615885,True,1
28161.71918465259,40.32288526965316,33.998388299895105,6.324496969758059,2.4705938107324448,0.1400371814775735,7.140960632374244,0.03500929536939337,4.546076732267951,0.03500929536939337,4.291211665009677,1.287363499502903,True,1
28161.99258792485,39.48048588023748,34.312029781227096,5.168456099010385,1.2393448056267538,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.243871710596136,1.2731615131788407,True,-1
28162.26599119712,37.374487406698286,34.48723894744812,2.8872484592501664,-0.9822558319118069,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.332964570650285,1.2998893711950854,True,-1
28162.53939446939,34.70688934021531,34.49980557428298,0.2070837659323317,-3.452886312824824,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.561083750926038,1.3683251252778112,True,-1
28162.81279774165,32.24989112108626,34.371083585732244,-2.1211924646459863,-5.450410972975833,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.775374314452976,1.4326122943358928,True,-1
28163.08620101392,30.28429254578301,34.137270309534216,-3.8529777637512055,-6.7712888329051655,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.898976824051589,1.4696930472154766,True,-1
28163.359604286183,28.59949376695166,33.82044332631355,-5.220949559361891,-7.6735976732213835,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.962900236316228,1.4888700708948683,True,-1
28163.63300755845,26.914694988120303,33.42535201194304,-6.510657023822738,-8.450496990827965,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,5.011866462073161,1.5035599386219485,True,-1
28163.90641083072,25.51069600576084,32.97253912458956,-7.461843118828721,-8.863794482620683,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,5.026172077282951,1.507851623184885,True,-1
28164.179814102987,24.808696514581115,32.50546978624381,-7.696773271662693,-8.578168875344575,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.977791865001016,1.4933375595003047,True,-1
28164.45321737525,24.457696768991248,32.04504101540148,-7.5873442464102325,-7.984226746727712,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.904521228103088,1.4713563684309265,True,-1
28164.72662064752,24.10669702340138,31.590872892236693,-7.484175868835312,-7.430167668059799,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.828392037321995,1.4485176111965985,True,-1
28165.000023919787,23.82589722692949,31.14662350876381,-7.320726281834318,-6.850974984553697,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.75107026597142,1.425321079791426,True,-1
28165.273427192053,24.10669702340138,30.743855601223565,-6.637158577822184,-5.81455789631901,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.671398072730644,1.401419421819193,True,-1
28165.54683046432,24.527896718109226,30.388228485242504,-5.860331767133278,-4.7495126770531835,0.1371807931339719,7.289650228391606,0.03429519828349298,4.640735469037952,0.03429519828349298,4.598147812339746,1.3794443437019237,True,-1
28165.820233736584,25.019296361935037,30.088787555611848,-5.069491193676811,-3.7378854690147745,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.53050864224103,1.3591525926723091,True,1
28166.093637008853,25.79149580223274,29.84911512020212,-4.057619317969383,-2.5739759020441833,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.477797777370952,1.3433393332112857,True,1
28166.36704028112,26.633895191648413,29.6697929715399,-3.035897779891485,-1.4656806321525624,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.434802344158047,1.3304407032474141,True,1
28166.640443553384,27.47629458106409,29.547455198943364,-2.0711606178792756,-0.47300439865534694,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.395253935169384,1.3185761805508152,True,1
28166.91384682565,28.459093868715712,29.48675412822529,-1.0276602595095774,0.5386777439865356,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.366941981111852,1.3100825943335555,True,1
28167.187250097915,29.65249300372125,29.49599786642399,0.1564951372972594,1.6267457354342858,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.35928476582072,1.3077854297462161,True,1
28167.460653370184,30.986292036962745,29.579115898391237,1.4071761385715078,2.7169442949106952,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.3707480518344495,1.3112244155503348,True,1
28167.73405664245,32.32009107020423,29.731988040316658,2.58810302988757,3.680475595301453,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.386961424997149,1.3160884274991447,True,1
28168.00745991472,33.4432902560918,29.93897813818397,3.50431211790783,4.340314235121169,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.383810636383004,1.315143190914901,True,1
28168.28086318698,34.145289747271526,30.173576346840253,3.9717134004312733,4.539575267233374,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.344645459073296,1.3033936377219886,True,1
28168.55426645925,34.70688934021531,30.426412371934987,4.280476968280325,4.577932904328009,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.291738736553264,1.2875216209659792,True,1
28168.82766973152,34.91748918756923,30.676892762792512,4.240596424776719,4.284952007449421,0.13362934469997878,7.483386244579547,0.033407336174994695,4.764071647562921,0.033407336174994695,4.224374666927481,1.2673124000782443,True,1
28169.10107300378,33.72409005256369,30.849697087515406,2.8743929650482833,2.753228457007487,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.188024498836959,1.2564073496510877,True,-1
28169.374476276047,32.24989112108626,30.92910106482517,1.3207900562610888,1.1315956626992323,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.208938577686038,1.2626815733058114,True,-1
28169.64787954832,30.775692189608822,30.920401359959236,-0.14470917035041353,-0.31496813755167596,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.247390919284558,1.2742172757853674,True,-1
28169.921282820585,29.16109335989545,30.820632292838095,-1.6595389329426453,-1.7260314024579084,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.3056952868720995,1.2917085860616297,True,-1
28170.194686092847,27.26569473371017,30.619034389611002,-3.3533396559008324,-3.225895952303207,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.403608055874359,1.3210824167623076,True,-1
28170.468089365117,25.159696260170985,30.309439325949388,-5.149743065778402,-4.737488446663892,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.538104083478378,1.3614312250435132,True,-1
28170.741492637386,23.053697786631787,29.897971541665495,-6.844273755033708,-6.067264045348924,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.6754661643287765,1.402639849298633,True,-1
28171.014895909648,21.22849910956449,29.40633211472,-8.177833005155513,-6.98112803115021,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.768052801909873,1.4304158405729617,True,-1
28171.288299181917,20.035099974558943,28.874896409102966,-8.839796434544024,-7.209657346147321,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.776596378470203,1.4329789135410609,True,-1
28171.56170245418,18.841700839553404,28.30592124263485,-9.464220403081445,-7.389816305670507,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.768547968851112,1.4305643906553336,True,-1
28171.835105726444,18.13970134837368,27.729402364211037,-9.589701015837356,-7.089109938851156,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.721367450017851,1.4164102350053553,True,-1
28172.108508998717,18.3503011957276,27.19752041175891,-8.84721921603131,-5.9867155093118765,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.641532036227775,1.3924596108683325,True,-1
28172.38191227098,18.771500890435437,26.71968702093387,-7.948186130498431,-4.799163682771688,0.13593960104450659,7.356208141824694,0.033984900261126647,4.683107552736986,0.033984900261126647,4.567304452240814,1.3701913356722442,True,-1
28172.655315543245,19.26290053426124,26.28511808501057,-7.022217550749328,-3.647471826977046,0.1398159952431779,7.1522574957230685,0.03495399881079447,4.5532685388415475,0.03495399881079447,4.499710915954787,1.349913274786436,True,1
28172.92871881551,19.754300178087057,25.904513035691664,-6.150212857604608,-2.613717591828501,0.1398159952431779,7.1522574957230685,0.03495399881079447,4.5532685388415475,0.03495399881079447,4.4351123697502395,1.3305337109250719,True,1
28173.20212208778,20.80729941485665,25.60745602549463,-4.8001566106379805,-1.1900172936351696,0.1398159952431779,7.1522574957230685,0.03495399881079447,4.5532685388415475,0.03495399881079447,4.402141175272605,1.3206423525817814,True,1
